ScriptName,ISIN,BuyQty,BuyRate,BuyVal,SellQty,SellRate,SellVal,LTPRate,LTPVal,NetRealizedPnL,IncomeTax
NIFTY02Jun2022CE16700.00,NSE-F&O,8100,18.27044583,147990.6112,8100,4.443446,35991.9126,0,0,-111998.6986,0
NIFTY02Jun2022CE16900.00,NSE-F&O,2800,3.456032,9676.8896,2800,26.895668,75307.8704,0,0,65630.9808,19689.29
NIFTY02Jun2022PE15800.00,NSE-F&O,4850,67.385584,326820.0824,4850,136.709334,663040.2699,0,0,336220.1875,100866.06
NIFTY02Jun2022PE16000.00,NSE-F&O,5650,10.02627582,56648.4584,5650,49.12205476,277539.6094,0,0,220891.151,66267.35
NIFTY02Jun2022PE16200.00,NSE-F&O,2450,308.250049,755212.6201,2450,204.365106,500694.5097,0,0,-254518.1104,0
NIFTY02Jun2022PE16300.00,NSE-F&O,4200,86.11026933,361663.1312,4200,29.47902133,123811.8896,0,0,-237851.2416,0
NIFTY02Jun2022PE16400.00,NSE-F&O,2800,49.486236,138561.4608,2800,41.0493,114938.04,0,0,-23623.4208,0
NIFTY02Jun2022PE16450.00,NSE-F&O,9300,26.422497,245729.2221,9300,48.08764439,447215.0928,0,0,201485.8707,60445.76
NIFTY02Jun2022PE16700.00,NSE-F&O,2400,164.103142,393847.5408,2400,232.333563,557600.5512,0,0,163753.0104,49125.9
NIFTY02Mar2023CE17300.00,NSE-F&O,1800,81.511706,146721.0708,1800,66.574972,119834.9496,0,0,-26886.1212,0
NIFTY02Mar2023CE17350.00,NSE-F&O,1800,10.45635,18821.43,1800,12.127639,21829.7502,0,0,3008.3202,902.5
