,Date,portfolio_values
749,2021-04-13,158999656
750,2021-04-15,160091784
751,2021-04-16,159354632
752,2021-04-19,156563134
753,2021-04-20,155649017
754,2021-04-22,157468796
755,2021-04-23,156591006
756,2021-04-26,158668584
757,2021-04-27,160783169
758,2021-04-28,164863997
759,2021-04-29,165161284
760,2021-04-30,161214850
761,2021-05-03,161144789
762,2021-05-04,160203458
763,2021-05-05,161209056
764,2021-05-06,162275677
765,2021-05-07,162918476
766,2021-05-10,163818697
767,2021-05-11,162132897
768,2021-05-12,160207901
769,2021-05-14,159711391
770,2021-05-17,163564513
771,2021-05-18,165657664
772,2021-05-19,164549172
773,2021-05-20,163361911
774,2021-05-21,167101712
775,2021-05-24,167533040
776,2021-05-25,167485740
777,2021-05-26,168991495
778,2021-05-27,169277489
779,2021-05-28,170091227
780,2021-05-31,172009791
781,2021-06-01,172640148
782,2021-06-02,172583367
783,2021-06-03,174125999
784,2021-06-04,173587703
785,2021-06-07,173182215
786,2021-06-08,172680754
787,2021-06-09,171480768
788,2021-06-10,174082518
789,2021-06-11,174720623
790,2021-06-14,175072362
791,2021-06-15,175699454
792,2021-06-16,174762447
793,2021-06-17,174330511
794,2021-06-18,174658105
795,2021-06-21,175621250
796,2021-06-22,175123591
797,2021-06-23,174073006
798,2021-06-24,175418459
799,2021-06-25,176213824
800,2021-06-28,175520172
801,2021-06-29,174984891
802,2021-06-30,174573079
803,2021-07-01,174013926
804,2021-07-02,174907407
805,2021-07-05,176534488
806,2021-07-06,176657413
807,2021-07-07,177253550
808,2021-07-08,175209226
809,2021-07-09,174340360
810,2021-07-12,174380618
811,2021-07-13,175760101
812,2021-07-14,175920244
813,2021-07-15,176313097
814,2021-07-16,175946218
815,2021-07-19,173815332
816,2021-07-20,172574800
817,2021-07-22,174511533
818,2021-07-23,175111580
819,2021-07-26,174540858
820,2021-07-27,174227199
821,2021-07-28,173714023
822,2021-07-29,174913320
823,2021-07-30,173790917
824,2021-08-02,174827368
825,2021-08-03,178068952
826,2021-08-04,180980102
827,2021-08-05,180147197
828,2021-08-06,179388104
829,2021-08-09,179679133
830,2021-08-10,180190852
831,2021-08-11,179881969
832,2021-08-12,180506784
833,2021-08-13,182378034
834,2021-08-16,183235110
835,2021-08-17,184251683
836,2021-08-18,183696475
837,2021-08-20,183620874
838,2021-08-23,185011534
839,2021-08-24,186318991
840,2021-08-25,186665510
841,2021-08-26,186919046
842,2021-08-27,187404996
843,2021-08-30,189751104
844,2021-08-31,192474646
845,2021-09-01,191648627
846,2021-09-02,193755517
847,2021-09-03,194464666
848,2021-09-06,194882874
849,2021-09-07,194573267
850,2021-09-08,195006816
851,2021-09-09,194957985
852,2021-09-13,194538993
853,2021-09-14,194384380
854,2021-09-15,195885961
855,2021-09-16,197569784
856,2021-09-17,197125039
857,2021-09-20,195772140
858,2021-09-21,198014538
859,2021-09-22,197014839
860,2021-09-23,200345557
861,2021-09-24,200262759
862,2021-09-27,200442095
863,2021-09-28,198769038
864,2021-09-29,197880753
865,2021-09-30,197388426
866,2021-10-01,195796463
867,2021-10-04,197713472
868,2021-10-05,198987091
869,2021-10-06,197593684
870,2021-10-07,198410259
871,2021-10-08,199347172
872,2021-10-11,199489878
873,2021-10-12,200372179
874,2021-10-13,201219356
875,2021-10-14,202740281
876,2021-10-18,204558670
877,2021-10-19,204039669
878,2021-10-20,202974762
879,2021-10-21,203010608
880,2021-10-22,203246270
881,2021-10-25,204676414
882,2021-10-26,206387367
883,2021-10-27,205154935
884,2021-10-28,200927704
885,2021-10-29,198627451
886,2021-11-01,201196855
887,2021-11-02,201405700
888,2021-11-03,200683018
889,2021-11-04,201435871
890,2021-11-08,203104826
891,2021-11-09,202719794
892,2021-11-10,201881951
893,2021-11-11,199828058
894,2021-11-12,202525575
895,2021-11-15,202619956
896,2021-11-16,200973240
897,2021-11-17,199771145
898,2021-11-18,199153002
899,2021-11-22,194296937
900,2021-11-23,195081235
901,2021-11-24,194642267
902,2021-11-25,195623712
903,2021-11-26,189889223
904,2021-11-29,190847309
905,2021-11-30,189891506
906,2021-12-01,192276799
907,2021-12-02,194807748
908,2021-12-03,192224824
909,2021-12-06,189257563
910,2021-12-07,192711679
911,2021-12-08,196268575
912,2021-12-09,196326656
913,2021-12-10,196377660
914,2021-12-13,193708696
915,2021-12-14,192875539
916,2021-12-15,191324226
917,2021-12-16,191902436
918,2021-12-17,188626105
919,2021-12-20,184322456
920,2021-12-21,185073254
921,2021-12-22,187505118
922,2021-12-23,189234690
923,2021-12-24,188288024
924,2021-12-27,189407006
925,2021-12-28,190362477
926,2021-12-29,189807473
927,2021-12-30,189622284
928,2021-12-31,191477193
929,2022-01-03,195279602
930,2022-01-04,198160912
931,2022-01-05,200472367
932,2022-01-06,198490732
933,2022-01-07,199019695
934,2022-01-10,201750724
935,2022-01-11,202331208
936,2022-01-12,204059570
937,2022-01-13,204324700
938,2022-01-14,204590724
939,2022-01-17,205232130
940,2022-01-18,203771706
941,2022-01-19,201069925
942,2022-01-20,198552441
943,2022-01-21,197815476
944,2022-01-24,192526222
945,2022-01-25,193886465
946,2022-01-27,192272864
947,2022-01-28,191988902
948,2022-01-31,194386686
949,2022-02-01,196337428
950,2022-02-02,199424826
951,2022-02-03,196613557
952,2022-02-04,195777082
953,2022-02-07,192083666
954,2022-02-08,192514071
955,2022-02-09,194513497
956,2022-02-10,196225363
957,2022-02-11,192970180
958,2022-02-14,187045390
959,2022-02-15,193433329
960,2022-02-16,192637806
961,2022-02-17,192362404
962,2022-02-18,192316671
963,2022-02-21,191906138
964,2022-02-22,190446105
965,2022-02-23,190369749
966,2022-02-24,181260951
967,2022-02-25,185853612
968,2022-02-28,186680894
969,2022-03-02,183434485
970,2022-03-03,181848262
971,2022-03-04,178866041
972,2022-03-07,172931319
973,2022-03-08,174762407
974,2022-03-09,179136697
975,2022-03-10,182295748
976,2022-03-11,182461246
977,2022-03-14,185790156
978,2022-03-15,183437680
979,2022-03-16,186940855
980,2022-03-17,190405907
981,2022-03-21,188035855
982,2022-03-22,190124908
983,2022-03-23,189001020
984,2022-03-24,187870631
985,2022-03-25,187424344
986,2022-03-28,188284128
987,2022-03-29,189360351
988,2022-03-30,192304865
