FromDate,ToDate,NetRealizedPnL,NetUnrealizedPnL,TotalGL
08-03-2022,08-03-2022,-149141.55,0,-149141.55
09-03-2022,09-03-2022,394774.48,0,394774.48
10-03-2022,10-03-2022,-132341.41,0,-132341.41
11-03-2022,11-03-2022,-406439.97,0,-406439.97
14-03-2022,14-03-2022,89629.57,0,89629.57
15-03-2022,15-03-2022,-1417870.28,0,-1417870.28
16-03-2022,16-03-2022,682170.62,0,682170.62
17-03-2022,17-03-2022,-446962.2,-75665.56,-522627.76
18-03-2022,18-03-2022,0,-75665.56,-75665.56
21-03-2022,21-03-2022,1036804.71,-45489.72,991314.99
22-03-2022,22-03-2022,209155.79,114350.28,323506.07
23-03-2022,23-03-2022,627859.83,91976.29,719836.12
24-03-2022,24-03-2022,1003534.47,9377.41,1012911.88
25-03-2022,25-03-2022,40575.64,-58743.08,-18167.44
28-03-2022,28-03-2022,164815.1,-99090.55,65724.55
29-03-2022,29-03-2022,532004.43,-111081.25,420923.18
30-03-2022,30-03-2022,-453303.52,-87993.82,-541297.34
31-03-2022,31-03-2022,1189040.71,0,1189040.71
01-04-2022,01-04-2022,0,-5374.63,-5374.63
04-04-2022,04-04-2022,63746.61,-878574.91,-814828.3
05-04-2022,05-04-2022,-92895.84,-781426.38,-874322.22
06-04-2022,06-04-2022,-559916.96,-30478.34,-590395.3
07-04-2022,07-04-2022,522360.08,-717516.27,-195156.19
08-04-2022,08-04-2022,79138.13,-623736.96,-544598.83
11-04-2022,11-04-2022,0,-359381.96,-359381.96
12-04-2022,12-04-2022,-23613.76,-249335,-272948.76
13-04-2022,13-04-2022,83887.71,-245848.05,-161960.34
14-04-2022,14-04-2022,0,-245848.05,-245848.05
15-04-2022,15-04-2022,0,-245848.05,-245848.05
18-04-2022,18-04-2022,-132253.07,-508491.19,-640744.26
19-04-2022,19-04-2022,-627662.25,-895848.34,-1523510.59
20-04-2022,20-04-2022,-645311.17,332065.86,-313245.31
21-04-2022,21-04-2022,958673.34,-424416.63,534256.71
26-04-2022,26-04-2022,-390409.5,371221.86,-19187.64
27-04-2022,27-04-2022,514673.24,528347.79,1043021.03
28-04-2022,28-04-2022,1015397.5,93203.03,1108600.53
29-04-2022,29-04-2022,53474.11,24928.28,78402.39
02-05-2022,02-05-2022,0,17966.95,17966.95
03-05-2022,03-05-2022,0,17966.95,17966.95
04-05-2022,04-05-2022,393326.42,-1001988.1,-608661.68
05-05-2022,05-05-2022,-601414.67,-102272.27,-703686.94
06-05-2022,06-05-2022,283191.63,-391621.25,-108429.62
09-05-2022,09-05-2022,154644.84,-460038.35,-305393.51
10-05-2022,10-05-2022,33363.51,-229498.97,-196135.46
11-05-2022,11-05-2022,747395.32,-799030.96,-51635.64
12-05-2022,12-05-2022,748936,-1800118.9,-1051182.9
13-05-2022,13-05-2022,-1199738.5,-538509.72,-1738248.22
16-05-2022,16-05-2022,-307022.29,118402.78,-188619.51
17-05-2022,17-05-2022,-342645.15,401259.78,58614.63
18-05-2022,18-05-2022,-13683.23,877618.88,863935.65
19-05-2022,19-05-2022,406717.45,-76881.93,329835.52
20-05-2022,20-05-2022,666855.8,-634198.43,32657.37
23-05-2022,23-05-2022,-1232133.15,526169.19,-705963.96
24-05-2022,24-05-2022,241213.49,553149.25,794362.74
25-05-2022,25-05-2022,241567.45,657589.33,899156.78
26-05-2022,26-05-2022,1354776.47,0,1354776.47
27-05-2022,27-05-2022,18470.84,86566.83,105037.67
30-05-2022,30-05-2022,148714.21,-53304.26,95409.95
31-05-2022,31-05-2022,-40968.52,125976.53,85008.01
01-06-2022,01-06-2022,661451.86,-82830.75,578621.11
02-06-2022,02-06-2022,515063.11,-79536.74,435526.37
03-06-2022,03-06-2022,6875.12,-137391.68,-130516.56
06-06-2022,06-06-2022,79241.44,-86655.51,-7414.07
