entryDt,Entry_relventExpiryDt,Entry_BANKNIFTY_price,Entry_CE_strike,Entry_PE_strike,Entry_symbolCE,Entry_symbolPE,Entry_year,Entry_CEprice,Entry_PEprice,exitDt,Exit_relventExpiryDt,Exit_BANKNIFTY_price,Exit_CE_strike,Exit_PE_strike,Exit_symbolCE,Exit_symbolPE,Exit_year,Exit_CEprice,Exit_PEprice
2020-12-24 15:15:00,2020-12-31 15:15:00,30378.55,30500,30300,BANKNIFTY20123130500CE,BANKNIFTY20123130300PE,2020,299.4,272.15,2020-12-31 15:15:00,2020-12-31 15:15:00,31250.35,30500,30300,BANKNIFTY20123130500CE,BANKNIFTY20123130300PE,2020,772.85,0.15
2020-12-31 15:15:00,2021-01-07 15:15:00,31250.35,31400,31200,BANKNIFTY21010731400CE,BANKNIFTY21010731200PE,2020,377.45,407.5,2021-01-07 15:15:00,2021-01-07 15:15:00,31948.3,31400,31200,BANKNIFTY21010731400CE,BANKNIFTY21010731200PE,2020,,
2021-01-07 15:15:00,2021-01-14 15:15:00,31948.3,32000,31800,BANKNIFTY21011432000CE,BANKNIFTY21011431800PE,2021,400.0,287.25,2021-01-14 15:15:00,2021-01-14 15:15:00,32497.4,32000,31800,BANKNIFTY21011432000CE,BANKNIFTY21011431800PE,2021,502.35,0.15
2021-01-14 15:15:00,2021-01-21 15:15:00,32497.4,32600,32400,BANKNIFTY21012132600CE,BANKNIFTY21012132400PE,2021,419.75,351.8,2021-01-21 15:15:00,2021-01-21 15:15:00,32139.5,32600,32400,BANKNIFTY21012132600CE,BANKNIFTY21012132400PE,2021,0.7,238.0
2021-01-21 15:15:00,2021-01-28 15:15:00,32139.5,32200,32000,BANKNIFTY21012832200CE,BANKNIFTY21012832000PE,2021,390.0,315.05,2021-01-28 15:15:00,2021-01-28 15:15:00,30417.1,32200,32000,BANKNIFTY21012832200CE,BANKNIFTY21012832000PE,2021,0.2,1616.65
2021-01-28 15:15:00,2021-02-04 15:15:00,30417.1,30500,30300,BANKNIFTY21020430500CE,BANKNIFTY21020430300PE,2021,562.3,568.2,2021-02-04 15:15:00,2021-02-04 15:15:00,35304.75,30500,30300,BANKNIFTY21020430500CE,BANKNIFTY21020430300PE,2021,4800.2,0.2
2021-02-04 15:15:00,2021-02-11 15:15:00,35304.75,35400,35200,BANKNIFTY21021135400CE,BANKNIFTY21021135200PE,2021,500.0,574.5,2021-02-11 15:15:00,2021-02-11 15:15:00,35759.0,35400,35200,BANKNIFTY21021135400CE,BANKNIFTY21021135200PE,2021,351.0,0.3
2021-02-11 15:15:00,2021-02-18 15:15:00,35759.0,35900,35700,BANKNIFTY21021835900CE,BANKNIFTY21021835700PE,2021,474.2,480.0,2021-02-18 15:15:00,2021-02-18 15:15:00,36611.9,35900,35700,BANKNIFTY21021835900CE,BANKNIFTY21021835700PE,2021,698.9,0.15
2021-02-18 15:15:00,2021-02-25 15:15:00,36611.9,36700,36500,BANKNIFTY21022536700CE,BANKNIFTY21022536500PE,2021,474.0,453.5,2021-02-25 15:15:00,2021-02-25 15:15:00,36565.2,36700,36500,BANKNIFTY21022536700CE,BANKNIFTY21022536500PE,2021,0.55,2.75
2021-02-25 15:15:00,2021-03-04 15:15:00,36565.2,36700,36500,BANKNIFTY21030436700CE,BANKNIFTY21030436500PE,2021,594.75,498.45,2021-03-04 15:15:00,2021-03-04 15:15:00,35809.4,36700,36500,BANKNIFTY21030436700CE,BANKNIFTY21030436500PE,2021,0.25,702.0
2021-03-04 15:15:00,2021-03-10 15:15:00,35809.4,35900,35700,BANKNIFTY21031035900CE,BANKNIFTY21031035700PE,2021,591.85,570.85,2021-03-10 15:15:00,2021-03-10 15:15:00,35935.8,35900,35700,BANKNIFTY21031035900CE,BANKNIFTY21031035700PE,2021,37.0,0.4
2021-03-10 15:15:00,2021-03-18 15:15:00,35935.8,36000,35800,BANKNIFTY21031836000CE,BANKNIFTY21031835800PE,2021,569.95,493.95,2021-03-18 15:15:00,2021-03-18 15:15:00,33931.0,36000,35800,BANKNIFTY21031836000CE,BANKNIFTY21031835800PE,2021,0.25,1932.5
2021-03-18 15:15:00,2021-03-25 15:15:00,33931.0,34000,33800,BANKNIFTY21032534000CE,BANKNIFTY21032533800PE,2021,590.0,524.1,2021-03-25 15:15:00,2021-03-25 15:15:00,32938.5,34000,33800,BANKNIFTY21032534000CE,BANKNIFTY21032533800PE,2021,0.4,825.0
2021-03-25 15:15:00,2021-04-01 15:15:00,32938.5,33000,32800,BANKNIFTY21040133000CE,BANKNIFTY21040132800PE,2021,682.4,487.25,2021-04-01 15:15:00,2021-04-01 15:15:00,33942.1,33000,32800,BANKNIFTY21040133000CE,BANKNIFTY21040132800PE,2021,870.0,0.25
2021-04-01 15:15:00,2021-04-08 15:15:00,33942.1,34000,33800,BANKNIFTY21040834000CE,BANKNIFTY21040833800PE,2021,508.05,336.7,2021-04-08 15:15:00,2021-04-08 15:15:00,32770.05,34000,33800,BANKNIFTY21040834000CE,BANKNIFTY21040833800PE,2021,0.25,1028.7
2021-04-08 15:15:00,2021-04-15 15:15:00,32770.05,32900,32700,BANKNIFTY21041532900CE,BANKNIFTY21041532700PE,2021,529.0,496.85,2021-04-15 15:15:00,2021-04-15 15:15:00,32103.3,32900,32700,BANKNIFTY21041532900CE,BANKNIFTY21041532700PE,2021,0.15,597.15
2021-04-15 15:15:00,2021-04-22 15:15:00,32103.3,32200,32000,BANKNIFTY21042232200CE,BANKNIFTY21042232000PE,2021,565.15,562.75,2021-04-22 15:15:00,2021-04-22 15:15:00,31772.45,32200,32000,BANKNIFTY21042232200CE,BANKNIFTY21042232000PE,2021,0.2,225.35
2021-04-22 15:15:00,2021-04-29 15:15:00,31772.45,31900,31700,BANKNIFTY21042931900CE,BANKNIFTY21042931700PE,2021,605.75,648.75,2021-04-29 15:15:00,2021-04-29 15:15:00,33728.1,31900,31700,BANKNIFTY21042931900CE,BANKNIFTY21042931700PE,2021,1834.95,0.1
2021-04-29 15:15:00,2021-05-06 15:15:00,33728.1,33800,33600,BANKNIFTY21050633800CE,BANKNIFTY21050633600PE,2021,630.6,625.0,2021-05-06 15:15:00,2021-05-06 15:15:00,32855.1,33800,33600,BANKNIFTY21050633800CE,BANKNIFTY21050633600PE,2021,0.2,770.0
2021-05-06 15:15:00,2021-05-12 15:15:00,32855.1,33000,32800,BANKNIFTY21051233000CE,BANKNIFTY21051232800PE,2021,464.9,511.9,2021-05-12 15:15:00,2021-05-12 15:15:00,32470.15,33000,32800,BANKNIFTY21051233000CE,BANKNIFTY21051232800PE,2021,0.3,339.1
2021-05-12 15:15:00,2021-05-20 15:15:00,32470.15,32600,32400,BANKNIFTY21052032600CE,BANKNIFTY21052032400PE,2021,442.65,445.0,2021-05-20 15:15:00,2021-05-20 15:15:00,33308.05,32600,32400,BANKNIFTY21052032600CE,BANKNIFTY21052032400PE,2021,717.9,0.1
2021-05-20 15:15:00,2021-05-27 15:15:00,33308.05,33400,33200,BANKNIFTY21052733400CE,BANKNIFTY21052733200PE,2021,507.0,408.0,2021-05-27 15:15:00,2021-05-27 15:15:00,35122.8,33400,33200,BANKNIFTY21052733400CE,BANKNIFTY21052733200PE,2021,1668.8,0.2
