entryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,year,CEprice
2022-01-06 15:15:00,2022-01-06,2022-01-06,2022-01-06,37469.4,37700,37200,BANKNIFTY22010637700CE,2022,0.35
2022-01-13 15:15:00,2022-01-13,2022-01-13,2022-01-13,38495.1,38750,38250,BANKNIFTY22011338750CE,2022,
2022-01-20 15:15:00,2022-01-20,2022-01-20,2022-01-20,37930.65,38200,37700,BANKNIFTY22012038200CE,2022,0.5
2022-01-27 15:15:00,2022-01-27,2022-01-27,2022-01-27,38080.5,38350,37850,BANKNIFTY22012738350CE,2022,
2022-02-03 15:15:00,2022-02-03,2022-02-03,2022-02-03,39052.35,39300,38800,BANKNIFTY22020339300CE,2022,0.4
2022-02-10 15:15:00,2022-02-10,2022-02-10,2022-02-10,39000.25,39250,38750,BANKNIFTY22021039250CE,2022,
2022-02-17 15:15:00,2022-02-17,2022-02-17,2022-02-17,37506.3,37750,37250,BANKNIFTY22021737750CE,2022,
2022-02-24 15:15:00,2022-02-24,2022-02-24,2022-02-24,35222.05,35450,34950,BANKNIFTY22022435450CE,2022,
2022-03-03 15:15:00,2022-03-03,2022-03-03,2022-03-03,35170.35,35400,34900,BANKNIFTY22030335400CE,2022,7.0
2022-03-10 15:15:00,2022-03-10,2022-03-10,2022-03-10,34520.25,34750,34250,BANKNIFTY22031034750CE,2022,
2022-03-17 15:15:00,2022-03-17,2022-03-17,2022-03-17,36430.75,36700,36200,BANKNIFTY22031736700CE,2022,0.4
2022-03-24 15:15:00,2022-03-24,2022-03-24,2022-03-24,35528.4,35800,35300,BANKNIFTY22032435800CE,2022,0.45
2022-03-31 15:15:00,2022-03-31,2022-03-31,2022-03-31,36362.75,36600,36100,BANKNIFTY22033136600CE,2022,0.45
2022-04-07 15:15:00,2022-04-07,2022-04-07,2022-04-07,37524.1,37750,37250,BANKNIFTY22040737750CE,2022,
2022-04-13 15:15:00,2022-04-13,2022-04-13,2022-04-13,37436.2,37700,37200,BANKNIFTY22041337700CE,2022,0.5
2022-04-21 15:15:00,2022-04-21,2022-04-21,2022-04-21,36817.7,37050,36550,BANKNIFTY22042137050CE,2022,
2022-04-28 15:15:00,2022-04-28,2022-04-28,2022-04-28,36403.7,36650,36150,BANKNIFTY22042836650CE,2022,
2022-05-05 15:15:00,2022-05-05,2022-05-05,2022-05-05,35261.35,35500,35000,BANKNIFTY22050535500CE,2022,0.35
2022-05-12 15:15:00,2022-05-12,2022-05-12,2022-05-12,33576.3,33850,33350,BANKNIFTY22051233850CE,2022,
2022-05-19 15:15:00,2022-05-19,2022-05-19,2022-05-19,33310.15,33550,33050,BANKNIFTY22051933550CE,2022,
