entryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,symbolPE,year,CEprice,PEprice
16-09-2021 15:15,16-09-2021,16-09-2021,16-09-2021,37641.15,37900,37400,BANKNIFTY21091637900CE,BANKNIFTY21091637400PE,2021,0.3,0.4
23-09-2021 15:15,23-09-2021,23-09-2021,23-09-2021,37781.6,38050,37550,BANKNIFTY21092338050CE,BANKNIFTY21092337550PE,2021,,
30-09-2021 15:15,30-09-2021,30-09-2021,30-09-2021,37446.35,37700,37200,BANKNIFTY21093037700CE,BANKNIFTY21093037200PE,2021,0.55,0.25
07-10-2021 15:15,07-10-2021,07-10-2021,07-10-2021,37744.8,38000,37500,BANKNIFTY21100738000CE,BANKNIFTY21100737500PE,2021,0.25,0.2
14-10-2021 15:15,14-10-2021,14-10-2021,14-10-2021,39360.15,39600,39100,BANKNIFTY21101439600CE,BANKNIFTY21101439100PE,2021,0.3,0.3
21-10-2021 15:15,21-10-2021,21-10-2021,21-10-2021,40035.3,40300,39800,BANKNIFTY21102140300CE,BANKNIFTY21102139800PE,2021,0.8,1
28-10-2021 15:15,28-10-2021,28-10-2021,28-10-2021,39528.1,39800,39300,BANKNIFTY21102839800CE,BANKNIFTY21102839300PE,2021,0.9,0.7
03-11-2021 15:15,03-11-2021,03-11-2021,03-11-2021,39359.75,39600,39100,BANKNIFTY21110339600CE,BANKNIFTY21110339100PE,2021,1.05,1
11-11-2021 15:15,11-11-2021,11-11-2021,11-11-2021,38551.2,38800,38300,BANKNIFTY21111138800CE,BANKNIFTY21111138300PE,2021,0.4,0.4
18-11-2021 15:15,18-11-2021,18-11-2021,18-11-2021,37946.4,38200,37700,BANKNIFTY21111838200CE,BANKNIFTY21111837700PE,2021,0.55,0.7
25-11-2021 15:15,25-11-2021,25-11-2021,25-11-2021,37332.65,37600,37100,BANKNIFTY21112537600CE,BANKNIFTY21112537100PE,2021,0.25,0.3
02-12-2021 15:15,02-12-2021,02-12-2021,02-12-2021,36482.2,36750,36250,BANKNIFTY21120236750CE,BANKNIFTY21120236250PE,2021,,
09-12-2021 15:15,09-12-2021,09-12-2021,09-12-2021,37076.65,37350,36850,BANKNIFTY21120937350CE,BANKNIFTY21120936850PE,2021,,
16-12-2021 15:15,16-12-2021,16-12-2021,16-12-2021,36557.2,36800,36300,BANKNIFTY21121636800CE,BANKNIFTY21121636300PE,2021,0.35,0.1
23-12-2021 15:15,23-12-2021,23-12-2021,23-12-2021,35241.4,35500,35000,BANKNIFTY21122335500CE,BANKNIFTY21122335000PE,2021,0.2,0.25
30-12-2021 15:15,30-12-2021,30-12-2021,30-12-2021,35081.25,35350,34850,BANKNIFTY21123035350CE,BANKNIFTY21123034850PE,2021,,
06-01-2022 15:15,06-01-2022,06-01-2022,06-01-2022,37469.4,37700,37200,BANKNIFTY22010637700CE,BANKNIFTY22010637200PE,2022,0.35,0.35
13-01-2022 15:15,13-01-2022,13-01-2022,13-01-2022,38495.1,38750,38250,BANKNIFTY22011338750CE,BANKNIFTY22011338250PE,2022,,
20-01-2022 15:15,20-01-2022,20-01-2022,20-01-2022,37930.65,38200,37700,BANKNIFTY22012038200CE,BANKNIFTY22012037700PE,2022,0.5,0.3
27-01-2022 15:15,27-01-2022,27-01-2022,27-01-2022,38080.5,38350,37850,BANKNIFTY22012738350CE,BANKNIFTY22012737850PE,2022,,
03-02-2022 15:15,03-02-2022,03-02-2022,03-02-2022,39052.35,39300,38800,BANKNIFTY22020339300CE,BANKNIFTY22020338800PE,2022,0.4,0.3
10-02-2022 15:15,10-02-2022,10-02-2022,10-02-2022,39000.25,39250,38750,BANKNIFTY22021039250CE,BANKNIFTY22021038750PE,2022,,
17-02-2022 15:15,17-02-2022,17-02-2022,17-02-2022,37506.3,37750,37250,BANKNIFTY22021737750CE,BANKNIFTY22021737250PE,2022,,
24-02-2022 15:15,24-02-2022,24-02-2022,24-02-2022,35222.05,35450,34950,BANKNIFTY22022435450CE,BANKNIFTY22022434950PE,2022,,
03-03-2022 15:15,03-03-2022,03-03-2022,03-03-2022,35170.35,35400,34900,BANKNIFTY22030335400CE,BANKNIFTY22030334900PE,2022,7,3.25
10-03-2022 15:15,10-03-2022,10-03-2022,10-03-2022,34520.25,34750,34250,BANKNIFTY22031034750CE,BANKNIFTY22031034250PE,2022,,
17-03-2022 15:15,17-03-2022,17-03-2022,17-03-2022,36430.75,36700,36200,BANKNIFTY22031736700CE,BANKNIFTY22031736200PE,2022,0.4,1.05
24-03-2022 15:15,24-03-2022,24-03-2022,24-03-2022,35528.4,35800,35300,BANKNIFTY22032435800CE,BANKNIFTY22032435300PE,2022,0.45,0.7
31-03-2022 15:15,31-03-2022,31-03-2022,31-03-2022,36362.75,36600,36100,BANKNIFTY22033136600CE,BANKNIFTY22033136100PE,2022,0.45,0.35
07-04-2022 15:15,07-04-2022,07-04-2022,07-04-2022,37524.1,37750,37250,BANKNIFTY22040737750CE,BANKNIFTY22040737250PE,2022,,
13-04-2022 15:15,13-04-2022,13-04-2022,13-04-2022,37436.2,37700,37200,BANKNIFTY22041337700CE,BANKNIFTY22041337200PE,2022,0.5,0.35
21-04-2022 15:15,21-04-2022,21-04-2022,21-04-2022,36817.7,37050,36550,BANKNIFTY22042137050CE,BANKNIFTY22042136550PE,2022,,
28-04-2022 15:15,28-04-2022,28-04-2022,28-04-2022,36403.7,36650,36150,BANKNIFTY22042836650CE,BANKNIFTY22042836150PE,2022,,
05-05-2022 15:15,05-05-2022,05-05-2022,05-05-2022,35261.35,35500,35000,BANKNIFTY22050535500CE,BANKNIFTY22050535000PE,2022,0.35,0.2
12-05-2022 15:15,12-05-2022,12-05-2022,12-05-2022,33576.3,33850,33350,BANKNIFTY22051233850CE,BANKNIFTY22051233350PE,2022,,
19-05-2022 15:15,19-05-2022,19-05-2022,19-05-2022,33310.15,33550,33050,BANKNIFTY22051933550CE,BANKNIFTY22051933050PE,2022,,
26-05-2022 15:15,26-05-2022,26-05-2022,26-05-2022,35106.05,35350,34850,BANKNIFTY22052635350CE,BANKNIFTY22052634850PE,2022,,
02-06-2022 15:15,02-06-2022,02-06-2022,02-06-2022,35666.3,35900,35400,BANKNIFTY22060235900CE,BANKNIFTY22060235400PE,2022,0.7,0.5
09-06-2022 15:15,09-06-2022,09-06-2022,09-06-2022,35130.05,35400,34900,BANKNIFTY22060935400CE,BANKNIFTY22060934900PE,2022,0.25,0.3
16-06-2022 15:15,16-06-2022,16-06-2022,16-06-2022,32617,32850,32350,BANKNIFTY22061632850CE,BANKNIFTY22061632350PE,2022,,
23-06-2022 15:15,23-06-2022,23-06-2022,23-06-2022,33146.75,33400,32900,BANKNIFTY22062333400CE,BANKNIFTY22062332900PE,2022,0.3,0.55
30-06-2022 15:15,30-06-2022,30-06-2022,30-06-2022,33419.45,33650,33150,BANKNIFTY22063033650CE,BANKNIFTY22063033150PE,2022,,
07-07-2022 15:15,07-07-2022,07-07-2022,07-07-2022,34903,35150,34650,BANKNIFTY22070735150CE,BANKNIFTY22070734650PE,2022,,
14-07-2022 15:15,14-07-2022,14-07-2022,14-07-2022,34657.95,34900,34400,BANKNIFTY22071434900CE,BANKNIFTY22071434400PE,2022,0.2,0.1
21-07-2022 15:15,21-07-2022,21-07-2022,21-07-2022,36194.9,36450,35950,BANKNIFTY22072136450CE,BANKNIFTY22072135950PE,2022,,
