entryDt,relevantEntryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,symbolPE,year,CEprice,PEprice
12-05-2022 15:15,19-05-2022 15:15,12-05-2022,12-05-2022,12-05-2022,33576.3,33700,33500,BANKNIFTY22051933700CE,BANKNIFTY22051933500PE,2022,454.4,464.95
19-05-2022 15:15,26-05-2022 15:15,19-05-2022,19-05-2022,19-05-2022,33310.15,33400,33200,BANKNIFTY22052633400CE,BANKNIFTY22052633200PE,2022,421.05,463.8
26-05-2022 15:15,02-06-2022 15:15,26-05-2022,26-05-2022,26-05-2022,35106.05,35200,35000,BANKNIFTY22060235200CE,BANKNIFTY22060235000PE,2022,437.2,450.85
02-06-2022 15:15,09-06-2022 15:15,02-06-2022,02-06-2022,02-06-2022,35666.3,35750,35550,BANKNIFTY22060935750CE,BANKNIFTY22060935550PE,2022,,
09-06-2022 15:15,16-06-2022 15:15,09-06-2022,09-06-2022,09-06-2022,35130.05,35250,35050,BANKNIFTY22061635250CE,BANKNIFTY22061635050PE,2022,,
16-06-2022 15:15,23-06-2022 15:15,16-06-2022,16-06-2022,16-06-2022,32617,32700,32500,BANKNIFTY22062332700CE,BANKNIFTY22062332500PE,2022,443.5,423.65
23-06-2022 15:15,30-06-2022 15:15,23-06-2022,23-06-2022,23-06-2022,33146.75,33250,33050,BANKNIFTY22063033250CE,BANKNIFTY22063033050PE,2022,,
30-06-2022 15:15,07-07-2022 15:15,30-06-2022,30-06-2022,30-06-2022,33419.45,33500,33300,BANKNIFTY22070733500CE,BANKNIFTY22070733300PE,2022,362.8,413.1
07-07-2022 15:15,14-07-2022 15:15,07-07-2022,07-07-2022,07-07-2022,34903,35000,34800,BANKNIFTY22071435000CE,BANKNIFTY22071434800PE,2022,346.7,358.2
14-07-2022 15:15,21-07-2022 15:15,14-07-2022,14-07-2022,14-07-2022,34657.95,34750,34550,BANKNIFTY22072134750CE,BANKNIFTY22072134550PE,2022,,
21-07-2022 15:15,28-07-2022 15:15,21-07-2022,21-07-2022,21-07-2022,36194.9,36300,36100,BANKNIFTY22072836300CE,BANKNIFTY22072836100PE,2022,292,328.3
28-07-2022 15:15,04-08-2022 15:15,28-07-2022,28-07-2022,28-07-2022,37371.7,37450,37250,BANKNIFTY22080437450CE,BANKNIFTY22080437250PE,2022,,
04-08-2022 15:15,11-08-2022 15:15,04-08-2022,04-08-2022,04-08-2022,37738.65,37850,37650,BANKNIFTY22081137850CE,BANKNIFTY22081137650PE,2022,,
11-08-2022 15:15,18-08-2022 15:15,11-08-2022,11-08-2022,11-08-2022,38849.35,38950,38750,BANKNIFTY22081838950CE,BANKNIFTY22081838750PE,2022,,
18-08-2022 15:15,25-08-2022 15:15,18-08-2022,18-08-2022,18-08-2022,39652.1,39750,39550,BANKNIFTY22082539750CE,BANKNIFTY22082539550PE,2022,,
25-08-2022 15:15,01-09-2022 15:15,25-08-2022,25-08-2022,25-08-2022,38855.8,38950,38750,BANKNIFTY22090138950CE,BANKNIFTY22090138750PE,2022,,
01-09-2022 15:15,08-09-2022 15:15,01-09-2022,01-09-2022,01-09-2022,39310.95,39400,39200,BANKNIFTY22090839400CE,BANKNIFTY22090839200PE,2022,434.2,376.5
08-09-2022 15:15,15-09-2022 15:15,08-09-2022,08-09-2022,08-09-2022,40192.45,40300,40100,BANKNIFTY22091540300CE,BANKNIFTY22091540100PE,2022,416.85,403.7
15-09-2022 15:15,22-09-2022 15:15,15-09-2022,15-09-2022,15-09-2022,41178.7,41300,41100,BANKNIFTY22092241300CE,BANKNIFTY22092241100PE,2022,455.95,448.6
22-09-2022 15:15,29-09-2022 15:15,22-09-2022,22-09-2022,22-09-2022,40639,40750,40550,BANKNIFTY22092940750CE,BANKNIFTY22092940550PE,2022,,
29-09-2022 15:15,06-10-2022 15:15,29-09-2022,29-09-2022,29-09-2022,37697.25,37800,37600,BANKNIFTY22100637800CE,BANKNIFTY22100637600PE,2022,542.7,480.7
06-10-2022 15:15,13-10-2022 15:15,06-10-2022,06-10-2022,06-10-2022,39292.2,39400,39200,BANKNIFTY22101339400CE,BANKNIFTY22101339200PE,2022,416.3,416.85
13-10-2022 15:15,20-10-2022 15:15,13-10-2022,13-10-2022,13-10-2022,38618.75,38700,38500,BANKNIFTY22102038700CE,BANKNIFTY22102038500PE,2022,523.6,445.05
20-10-2022 15:15,27-10-2022 15:15,20-10-2022,20-10-2022,20-10-2022,40133.2,40250,40050,BANKNIFTY22102740250CE,BANKNIFTY22102740050PE,2022,,
27-10-2022 15:15,03-11-2022 15:15,27-10-2022,27-10-2022,27-10-2022,41295.7,41400,41200,BANKNIFTY22110341400CE,BANKNIFTY22110341200PE,2022,425,395
03-11-2022 15:15,10-11-2022 15:15,03-11-2022,03-11-2022,03-11-2022,41268.3,41350,41150,BANKNIFTY22111041350CE,BANKNIFTY22111041150PE,2022,,
